Datetime,Close,High,Low,Open,Volume
2025-11-01 00:00:00+00:00,109681.0078125,109702.015625,109373.3203125,109559.015625,0
2025-11-01 01:00:00+00:00,109722.546875,109976.359375,109660.1796875,109672.515625,0
2025-11-01 02:00:00+00:00,109754.1640625,109795.328125,109434.53125,109690.03125,0
2025-11-01 03:00:00+00:00,110170.6484375,110207.2265625,109741.65625,109774.921875,0
2025-11-01 04:00:00+00:00,110236.9453125,110390.5390625,110096.28125,110167.9453125,0
2025-11-01 05:00:00+00:00,110056.4140625,110295.40625,110019.1875,110239.4609375,0
2025-11-01 06:00:00+00:00,109945.1953125,110099.09375,109905.6796875,110078.953125,0
2025-11-01 07:00:00+00:00,110013.703125,110177.9453125,109930.6796875,109930.6796875,0
2025-11-01 08:00:00+00:00,110157.546875,110184.9453125,110004.578125,110004.578125,0
2025-11-01 09:00:00+00:00,109939.71875,110182.4375,109928.1875,110182.4375,0
2025-11-01 10:00:00+00:00,110055.15625,110085.859375,109812.46875,109974.984375,0
2025-11-01 11:00:00+00:00,110065.5,110164.15625,109955.0,110063.296875,0
2025-11-01 12:00:00+00:00,109993.09375,110128.328125,109986.84375,110089.96875,0
2025-11-01 13:00:00+00:00,109898.7890625,109992.2421875,109709.9296875,109985.7265625,0
2025-11-01 14:00:00+00:00,109889.7109375,109940.34375,109702.1953125,109922.5859375,0
2025-11-01 15:00:00+00:00,110195.8359375,110328.2109375,109869.1796875,109898.203125,0
2025-11-01 16:00:00+00:00,110508.953125,110538.203125,110233.71875,110297.8046875,0
2025-11-01 17:00:00+00:00,110280.65625,110499.9375,110264.671875,110499.9375,0
2025-11-01 18:00:00+00:00,110415.6171875,110444.0703125,110294.8203125,110294.8203125,0
2025-11-01 19:00:00+00:00,110380.7578125,110416.234375,110299.5625,110416.234375,0
2025-11-01 20:00:00+00:00,110494.8828125,110551.515625,110363.0,110363.0,0
2025-11-01 21:00:00+00:00,109900.5390625,110529.9375,109900.5390625,110502.6875,0
2025-11-01 22:00:00+00:00,110056.7265625,110056.7265625,109835.0234375,109835.0234375,733175808
2025-11-01 23:00:00+00:00,110093.375,110093.375,109954.9921875,110039.859375,0
2025-11-02 00:00:00+00:00,109915.125,110059.9296875,109886.8203125,110048.0625,0
2025-11-02 01:00:00+00:00,109935.140625,110063.5,109872.703125,109923.71875,0
2025-11-02 02:00:00+00:00,109995.2265625,110202.8828125,109867.671875,109935.59375,0
2025-11-02 03:00:00+00:00,109993.5703125,110003.46875,109925.125,109974.1796875,0
2025-11-02 04:00:00+00:00,110612.0078125,110666.9921875,109988.9921875,109999.671875,278573056
2025-11-02 05:00:00+00:00,110493.890625,110644.984375,110292.3828125,110626.8359375,2480666624
2025-11-02 06:00:00+00:00,110636.0703125,110690.0,110299.125,110450.3046875,971266048
2025-11-02 07:00:00+00:00,110886.0078125,110972.28125,110416.9140625,110636.3203125,0
2025-11-02 08:00:00+00:00,110776.578125,110930.125,110682.390625,110876.0,1414748160
